"","a_Categoría.IPCC","a_Subcategoría.IPCC","a_Sector.IPCC","a_Subsector.IPCC","a_1990","a_1991","a_1992","a_1993","a_1994","a_1995","a_1996","a_1997","a_1998","a_1999","a_2000","a_2001","a_2002","a_2003","a_2004","a_2005","a_2006","a_2007","a_2008","a_2009","a_2010","a_2011","a_2012"
"1","Agricultura","Cultivo de arroz","Otros","Cultivo de arroz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Agricultura","Fermentación entérica","Bovinos","Bovinos lecheros ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Agricultura","Fermentación entérica","Bovinos","Bovinos no lecheros ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Agricultura","Fermentación entérica","Otros","Caprinos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Agricultura","Fermentación entérica","Otros","Equinos ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Agricultura","Fermentación entérica","Otros","Ovinos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Agricultura","Fermentación entérica","Otros","Porcinos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Agricultura","Manejo de estiércol","Bovinos","Bovinos lecheros ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Agricultura","Manejo de estiércol","Bovinos","Bovinos no lecheros ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Agricultura","Manejo de estiércol","Otros","Almacenamiento sólido",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Agricultura","Manejo de estiércol","Otros","Aves de corral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Agricultura","Manejo de estiércol","Otros","Caprinos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Agricultura","Manejo de estiércol","Otros","Equinos ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Agricultura","Manejo de estiércol","Otros","Otros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Agricultura","Manejo de estiércol","Otros","Ovinos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Agricultura","Manejo de estiércol","Otros","Porcinos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Agricultura","Manejo de estiércol","Otros","Sistemas líquidos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Agricultura","Manejo de suelos agrícolas","Emisiones Directas","Aplicación de abonos de origen animal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Agricultura","Manejo de suelos agrícolas","Emisiones Directas","Descomposición de residuos agrícolas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Agricultura","Manejo de suelos agrícolas","Emisiones Directas","Excretas de animales en pastoreo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Agricultura","Manejo de suelos agrícolas","Emisiones Directas","Fertilizantes sintéticos nitrogenados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Agricultura","Manejo de suelos agrícolas","Emisiones Directas","Fijación biológica de nitrógeno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Agricultura","Manejo de suelos agrícolas","Emisiones Indirectas","Lixiviación/Escorrentía",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Agricultura","Manejo de suelos agrícolas","Emisiones Indirectas","Volatilización/Deposición",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Agricultura","Quema de residuos agrícolas","Pre- y post-cosecha","Pre- y post-cosecha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
